dataset,model,published,recomputed,abs_diff,note
KHSRP:HepG2,kmer (rehearsal),0.7353382507693615,0.7353382507693615,0.0,
KHSRP:K562,kmer (rehearsal),0.7545567402493343,0.7545567402493343,0.0,
LARP4:HepG2,kmer (rehearsal),0.6299279762825871,0.6299279762825871,0.0,
LARP4:K562,kmer (rehearsal),0.6009572742022714,0.6009572742022715,1.1102230246251565e-16,
LIN28B:K562,kmer (rehearsal),0.6687583272257255,0.6687583272257255,0.0,
LSM11:K562,kmer (rehearsal),0.7027147319932111,0.7027147319932111,0.0,
MATR3:HepG2,kmer (rehearsal),0.6975058620539585,0.6975058620539586,1.1102230246251565e-16,
MATR3:K562,kmer (rehearsal),0.7411466597876946,0.7411466597876945,1.1102230246251565e-16,
MBNL1:K562,kmer (rehearsal),0.6977500062292187,0.6977500062292186,1.1102230246251565e-16,
METTL1:K562,kmer (rehearsal),0.6911320404043898,0.6911320404043897,1.1102230246251565e-16,
MORC2:K562,kmer (rehearsal),0.6203738343656039,0.6203738343656039,0.0,
MTPAP:K562,kmer (rehearsal),0.6227912445252705,0.6227912445252706,1.1102230246251565e-16,
NCBP2:HepG2,kmer (rehearsal),0.6634328412706892,0.6634328412706892,0.0,
NCBP2:K562,kmer (rehearsal),0.5830401125967629,0.5830401125967629,0.0,
NKRF:HepG2,kmer (rehearsal),0.7916626952247382,0.7916626952247382,0.0,
NOLC1:K562,kmer (rehearsal),0.6014219643798937,0.6014219643798937,0.0,
NONO:K562,kmer (rehearsal),0.7180748359608742,0.7180748359608742,0.0,
PCBP1:HepG2,kmer (rehearsal),0.617363060208239,0.6173630602082391,1.1102230246251565e-16,
PCBP2:HepG2,kmer (rehearsal),0.8457948225760736,0.8457948225760735,1.1102230246251565e-16,
PHF6:K562,kmer (rehearsal),0.6031344133326432,0.6031344133326433,1.1102230246251565e-16,
PPIL4:K562,kmer (rehearsal),0.595941337521098,0.5959413375210981,1.1102230246251565e-16,
PRPF4:HepG2,kmer (rehearsal),0.776663246481907,0.776663246481907,0.0,
PTBP1:HepG2,kmer (rehearsal),0.8573129473880324,0.8573129473880325,1.1102230246251565e-16,
