dataset,protein,cell,arm,model,n,fold_agreement,max_chroms_per_score_fold,max_chroms_per_table_fold,cross_fold_neighbours_score,cross_fold_neighbours_table
PCBP1:HepG2,PCBP1,HepG2,dn,splicebert,1880,1.0,5,5,0.0,0.0
PCBP2:HepG2,PCBP2,HepG2,gc,cnn,17178,1.0,5,5,0.0,0.0
PCBP2:HepG2,PCBP2,HepG2,gc,splicebert,17178,1.0,5,5,0.0,0.0
PCBP2:HepG2,PCBP2,HepG2,dn,cnn,17040,0.6913145539906104,23,5,0.18497652582159624,0.0
PCBP2:HepG2,PCBP2,HepG2,dn,splicebert,17040,0.6913145539906104,23,5,0.18497652582159624,0.0
PHF6:K562,PHF6,K562,gc,cnn,1352,1.0,5,5,0.0,0.0
PHF6:K562,PHF6,K562,gc,splicebert,1352,1.0,5,5,0.0,0.0
PHF6:K562,PHF6,K562,dn,cnn,1390,1.0,5,5,0.0,0.0
PHF6:K562,PHF6,K562,dn,splicebert,1390,1.0,5,5,0.0,0.0
PPIL4:K562,PPIL4,K562,gc,cnn,1316,1.0,5,5,0.0,0.0
PPIL4:K562,PPIL4,K562,gc,splicebert,1316,1.0,5,5,0.0,0.0
PPIL4:K562,PPIL4,K562,dn,cnn,1318,1.0,5,5,0.0,0.0
PPIL4:K562,PPIL4,K562,dn,splicebert,1318,1.0,5,5,0.0,0.0
PRPF4:HepG2,PRPF4,HepG2,gc,cnn,17734,1.0,5,5,0.0,0.0
PRPF4:HepG2,PRPF4,HepG2,gc,splicebert,17734,1.0,5,5,0.0,0.0
PRPF4:HepG2,PRPF4,HepG2,dn,cnn,18310,0.5546695794647734,23,5,0.29852539595849265,0.0
PRPF4:HepG2,PRPF4,HepG2,dn,splicebert,18310,0.5546695794647734,23,5,0.29852539595849265,0.0
PTBP1:HepG2,PTBP1,HepG2,gc,cnn,16698,1.0,5,5,0.0,0.0
PTBP1:HepG2,PTBP1,HepG2,gc,splicebert,16698,1.0,5,5,0.0,0.0
PTBP1:HepG2,PTBP1,HepG2,dn,cnn,15976,0.607035553329995,23,5,0.1442163244867301,0.0
PTBP1:HepG2,PTBP1,HepG2,dn,splicebert,15976,0.607035553329995,23,5,0.1442163244867301,0.0
PTBP1:K562,PTBP1,K562,gc,cnn,15570,1.0,5,5,0.0,0.0
PTBP1:K562,PTBP1,K562,gc,splicebert,15570,1.0,5,5,0.0,0.0
PTBP1:K562,PTBP1,K562,dn,cnn,15216,0.5345688748685594,23,5,0.17041272344900105,0.0
PTBP1:K562,PTBP1,K562,dn,splicebert,15216,0.5345688748685594,23,5,0.17041272344900105,0.0
PUM1:K562,PUM1,K562,gc,cnn,5302,1.0,5,5,0.0,0.0
PUM1:K562,PUM1,K562,gc,splicebert,5302,1.0,5,5,0.0,0.0
PUM1:K562,PUM1,K562,dn,cnn,5316,1.0,5,5,0.0,0.0
PUM1:K562,PUM1,K562,dn,splicebert,5316,1.0,5,5,0.0,0.0
QKI:HepG2,QKI,HepG2,gc,cnn,19976,1.0,5,5,0.0,0.0
QKI:HepG2,QKI,HepG2,gc,splicebert,19976,1.0,5,5,0.0,0.0
QKI:HepG2,QKI,HepG2,dn,cnn,19980,1.0,5,5,0.0,0.0
QKI:HepG2,QKI,HepG2,dn,splicebert,19980,1.0,5,5,0.0,0.0
QKI:K562,QKI,K562,gc,cnn,4378,1.0,5,5,0.0,0.0
QKI:K562,QKI,K562,gc,splicebert,4378,1.0,5,5,0.0,0.0
QKI:K562,QKI,K562,dn,cnn,4378,1.0,5,5,0.0,0.0
QKI:K562,QKI,K562,dn,splicebert,4378,1.0,5,5,0.0,0.0
RBFOX2:K562,RBFOX2,K562,gc,cnn,6968,1.0,5,5,0.0,0.0
RBFOX2:K562,RBFOX2,K562,gc,splicebert,6968,1.0,5,5,0.0,0.0
RBFOX2:K562,RBFOX2,K562,dn,cnn,7038,1.0,5,5,0.0,0.0
RBFOX2:K562,RBFOX2,K562,dn,splicebert,7038,1.0,5,5,0.0,0.0
RBM15:HepG2,RBM15,HepG2,gc,cnn,2986,1.0,5,5,0.0,0.0
RBM15:HepG2,RBM15,HepG2,gc,splicebert,2986,1.0,5,5,0.0,0.0
RBM15:HepG2,RBM15,HepG2,dn,cnn,3000,1.0,5,5,0.0,0.0
RBM15:HepG2,RBM15,HepG2,dn,splicebert,3000,1.0,5,5,0.0,0.0
RPS3:HepG2,RPS3,HepG2,gc,cnn,11294,1.0,5,5,0.0,0.0
RPS3:HepG2,RPS3,HepG2,gc,splicebert,11294,1.0,5,5,0.0,0.0
RPS3:HepG2,RPS3,HepG2,dn,cnn,11316,1.0,5,5,0.0,0.0
RPS3:HepG2,RPS3,HepG2,dn,splicebert,11316,1.0,5,5,0.0,0.0
RPS3:K562,RPS3,K562,gc,cnn,4738,1.0,5,5,0.0,0.0
RPS3:K562,RPS3,K562,gc,splicebert,4738,1.0,5,5,0.0,0.0
